Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
C , L , NO WAIT , 1352.0
A , S , NO WAIT , 1368.0
C , S , NO WAIT , 2242.0
C , L , NO WAIT , 747.0
C , L , NO WAIT , 3316.0
B , L , NO WAIT , 1723.0
A , L , NO WAIT , 2867.0
A , S , NO WAIT , 3137.0
A , S , NO WAIT , 3508.0
B , L , NO WAIT , 2182.0
A , S , NO WAIT , 2029.0
C , S , NO WAIT , 1368.0
A , L , NO WAIT , 2272.0
B , L , NO WAIT , 964.0
A , L , NO WAIT , 2170.0
C , L , NO WAIT , 2871.0
A , L , NO WAIT , 1820.0
B , L , NO WAIT , 1393.0
A , L , NO WAIT , 1707.0
B , S , NO WAIT , 654.0
A , L , NO WAIT , 227.0
A , L , NO WAIT , 3057.0
A , S , NO WAIT , 2795.0
C , L , NO WAIT , 380.0
B , S , NO WAIT , 394.0
A , L , NO WAIT , 2661.0
Priemerný čas čakania, Percent nestihli, Zisk z microbusov, Náklady spoločnosti
557.6464179744451 , 0.06615973791073251 , 0.0 , 12145000

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
A , S , NO WAIT , 426.0
B , S , NO WAIT , 2549.0
A , L , NO WAIT , 2861.0
C , L , NO WAIT , 1634.0
A , L , NO WAIT , 1150.0
A , L , NO WAIT , 1869.0
C , L , NO WAIT , 1762.0
A , L , NO WAIT , 599.0
A , S , NO WAIT , 2491.0
A , L , NO WAIT , 1904.0
A , L , NO WAIT , 80.0
C , L , NO WAIT , 2907.0
A , L , NO WAIT , 2230.0
B , S , NO WAIT , 595.0
B , S , NO WAIT , 2329.0
B , S , NO WAIT , 1578.0
C , L , NO WAIT , 1299.0
A , L , NO WAIT , 2926.0
B , S , NO WAIT , 435.0
A , L , NO WAIT , 965.0
B , S , NO WAIT , 1926.0
B , L , NO WAIT , 3113.0
A , L , NO WAIT , 3459.0
C , L , NO WAIT , 2012.0
B , S , NO WAIT , 1283.0
A , L , NO WAIT , 257.0
C , L , NO WAIT , 3401.0
Priemerný čas čakania, Percent nestihli, Zisk z microbusov, Náklady spoločnosti
493.47821463597285 , 0.0415842558612345 , 0.0 , 12690000

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
C , L , NO WAIT , 1351.0
C , S , NO WAIT , 835.0
C , L , NO WAIT , 2575.0
A , L , NO WAIT , 506.0
B , S , NO WAIT , 1006.0
A , S , NO WAIT , 1283.0
C , L , NO WAIT , 1946.0
C , L , NO WAIT , 2583.0
A , L , NO WAIT , 2525.0
A , L , NO WAIT , 3117.0
A , L , NO WAIT , 1360.0
A , S , NO WAIT , 247.0
B , S , NO WAIT , 48.0
B , S , NO WAIT , 3381.0
A , L , NO WAIT , 983.0
B , S , NO WAIT , 1804.0
A , L , NO WAIT , 1482.0
A , L , NO WAIT , 1997.0
C , L , NO WAIT , 189.0
C , L , NO WAIT , 508.0
B , L , NO WAIT , 1801.0
A , L , NO WAIT , 2752.0
B , L , NO WAIT , 346.0
A , S , NO WAIT , 1615.0
A , L , NO WAIT , 344.0
C , S , NO WAIT , 3561.0
A , L , NO WAIT , 2833.0
C , S , NO WAIT , 2506.0
Priemerný čas čakania, Percent nestihli, Zisk z microbusov, Náklady spoločnosti
427.6967608365935 , 0.058802956439167886 , 0.0 , 13010000

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
C , S , NO WAIT , 25.0
B , L , NO WAIT , 2335.0
A , L , NO WAIT , 2207.0
A , L , NO WAIT , 483.0
B , L , NO WAIT , 3407.0
B , L , NO WAIT , 708.0
C , S , NO WAIT , 1747.0
B , S , NO WAIT , 475.0
C , S , NO WAIT , 1222.0
A , S , NO WAIT , 117.0
C , L , NO WAIT , 745.0
A , S , NO WAIT , 781.0
A , L , NO WAIT , 2923.0
C , L , NO WAIT , 1125.0
C , S , NO WAIT , 3488.0
B , S , NO WAIT , 35.0
A , S , NO WAIT , 827.0
B , L , NO WAIT , 1939.0
A , L , NO WAIT , 2461.0
A , L , NO WAIT , 1600.0
A , L , NO WAIT , 2718.0
C , L , NO WAIT , 2477.0
A , L , NO WAIT , 112.0
C , L , NO WAIT , 2965.0
A , L , NO WAIT , 3555.0
C , S , NO WAIT , 2222.0
A , S , NO WAIT , 2242.0
B , L , NO WAIT , 3595.0
Priemerný čas čakania, Percent nestihli, Zisk z microbusov, Náklady spoločnosti
573.0774994226016 , 0.055776906805569806 , 0.0 , 12785000

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
A , S , NO WAIT , 3368.0
C , S , NO WAIT , 1554.0
A , S , NO WAIT , 3049.0
A , L , NO WAIT , 2201.0
B , L , NO WAIT , 3281.0
A , L , NO WAIT , 3452.0
A , L , NO WAIT , 2748.0
B , L , NO WAIT , 584.0
A , S , NO WAIT , 643.0
C , L , NO WAIT , 1401.0
A , S , NO WAIT , 180.0
A , L , NO WAIT , 3238.0
C , S , NO WAIT , 2051.0
A , L , NO WAIT , 1701.0
B , S , NO WAIT , 2253.0
A , L , NO WAIT , 427.0
A , L , NO WAIT , 3352.0
B , L , NO WAIT , 2980.0
C , L , NO WAIT , 1021.0
C , L , NO WAIT , 3004.0
B , S , NO WAIT , 3199.0
B , L , NO WAIT , 1121.0
A , L , NO WAIT , 1872.0
A , S , NO WAIT , 2566.0
C , S , NO WAIT , 2490.0
C , S , NO WAIT , 2188.0
C , L , NO WAIT , 3201.0
A , S , NO WAIT , 3172.0
C , S , NO WAIT , 1038.0
Priemerný čas čakania, Percent nestihli, Zisk z microbusov, Náklady spoločnosti
590.5369846215019 , 0.04627561451250179 , 0.0 , 12880000

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
C , S , NO WAIT , 1521.0
B , S , NO WAIT , 2252.0
A , L , NO WAIT , 2720.0
C , L , NO WAIT , 1209.0
C , S , NO WAIT , 136.0
A , L , NO WAIT , 1353.0
A , L , NO WAIT , 2851.0
A , L , NO WAIT , 3500.0
B , L , NO WAIT , 1598.0
A , S , NO WAIT , 1661.0
A , S , NO WAIT , 1674.0
A , S , NO WAIT , 2122.0
A , L , NO WAIT , 199.0
C , L , NO WAIT , 1990.0
C , S , NO WAIT , 642.0
A , S , NO WAIT , 1489.0
A , L , NO WAIT , 2817.0
C , L , NO WAIT , 1033.0
