Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
A , L , WAIT , 881.0
B , L , WAIT , 2020.0
B , S , WAIT , 165.0
C , S , WAIT , 1860.0
A , S , WAIT , 1001.0
A , S , WAIT , 2320.0
A , S , WAIT , 3207.0
B , S , WAIT , 698.0
A , S , WAIT , 1704.0
B , S , WAIT , 2164.0
A , L , WAIT , 3279.0
A , L , WAIT , 150.0
A , S , WAIT , 592.0
B , L , WAIT , 435.0
A , L , WAIT , 1064.0
C , S , WAIT , 1029.0
A , L , WAIT , 2915.0
A , L , WAIT , 2835.0
A , L , WAIT , 2631.0
C , L , WAIT , 2482.0
B , L , WAIT , 3002.0
A , L , WAIT , 2646.0
C , L , WAIT , 3557.0
A , L , WAIT , 1174.0
C , L , WAIT , 1498.0
C , L , WAIT , 232.0
C , L , WAIT , 801.0
C , L , WAIT , 2355.0
Priemerný čas čakania, Percent nestihli, Zisk z microbusov, Náklady spoločnosti
505.1119997570769 , 0.057668473645341264 , 0.0 , 13010000

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
A , L , WAIT , 1369.0
A , S , WAIT , 1607.0
C , L , WAIT , 2152.0
B , L , WAIT , 1984.0
A , S , WAIT , 1442.0
A , S , WAIT , 1579.0
C , S , WAIT , 2405.0
B , L , WAIT , 3360.0
A , L , WAIT , 2954.0
A , L , WAIT , 1431.0
B , L , WAIT , 788.0
C , S , WAIT , 2844.0
A , S , WAIT , 431.0
A , S , WAIT , 470.0
C , S , WAIT , 21.0
C , L , WAIT , 1465.0
A , S , WAIT , 3299.0
A , S , WAIT , 3092.0
C , L , WAIT , 599.0
A , S , WAIT , 3580.0
A , L , WAIT , 3358.0
A , L , WAIT , 2610.0
A , L , WAIT , 1702.0
B , S , WAIT , 2021.0
C , S , WAIT , 3045.0
A , L , WAIT , 753.0
C , L , WAIT , 2223.0
B , L , WAIT , 347.0
B , L , WAIT , 210.0
Priemerný čas čakania, Percent nestihli, Zisk z microbusov, Náklady spoločnosti
550.5198235073076 , 0.05681837238328256 , 0.0 , 12880000

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
A , S , WAIT , 38.0
A , L , WAIT , 3528.0
A , L , WAIT , 1275.0
A , S , WAIT , 1391.0
C , L , WAIT , 2622.0
B , S , WAIT , 798.0
A , L , WAIT , 1763.0
C , L , WAIT , 2357.0
C , S , WAIT , 1995.0
B , L , WAIT , 680.0
A , L , WAIT , 1123.0
A , S , WAIT , 707.0
C , S , WAIT , 3415.0
B , S , WAIT , 2295.0
A , S , WAIT , 1941.0
C , S , WAIT , 2483.0
A , L , WAIT , 706.0
A , L , WAIT , 2154.0
A , S , WAIT , 3188.0
A , L , WAIT , 2597.0
B , L , WAIT , 116.0
C , L , WAIT , 975.0
C , L , WAIT , 2524.0
B , L , WAIT , 2513.0
A , L , WAIT , 2314.0
B , L , WAIT , 3049.0
C , L , WAIT , 2416.0
C , L , WAIT , 3410.0
A , L , WAIT , 1714.0
Priemerný čas čakania, Percent nestihli, Zisk z microbusov, Náklady spoločnosti
574.2414526560699 , 0.02786680757912066 , 0.0 , 13555000

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
A , L , WAIT , 1610.0
B , L , WAIT , 336.0
C , L , WAIT , 2779.0
A , S , WAIT , 2530.0
B , S , WAIT , 995.0
C , L , WAIT , 2536.0
C , S , WAIT , 2955.0
C , L , WAIT , 362.0
B , L , WAIT , 93.0
B , S , WAIT , 2448.0
C , S , WAIT , 1295.0
A , L , WAIT , 788.0
A , S , WAIT , 2363.0
C , L , WAIT , 463.0
B , L , WAIT , 674.0
B , S , WAIT , 2042.0
A , S , WAIT , 780.0
A , S , WAIT , 2380.0
A , L , WAIT , 441.0
A , L , WAIT , 3528.0
A , S , WAIT , 1417.0
C , L , WAIT , 3466.0
A , L , WAIT , 3573.0
C , L , WAIT , 2699.0
A , L , WAIT , 180.0
A , S , WAIT , 1764.0
A , L , WAIT , 1327.0
A , L , WAIT , 1999.0
B , L , WAIT , 2215.0
A , S , WAIT , 3578.0
Priemerný čas čakania, Percent nestihli, Zisk z microbusov, Náklady spoločnosti
467.19994328977 , 0.025422747472301926 , 0.0 , 13650000

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
C , L , WAIT , 2675.0
B , S , WAIT , 996.0
A , L , WAIT , 1923.0
C , L , WAIT , 3008.0
C , L , WAIT , 1069.0
C , L , WAIT , 1685.0
A , L , WAIT , 869.0
A , S , WAIT , 2510.0
A , S , WAIT , 905.0
B , S , WAIT , 976.0
B , L , WAIT , 3557.0
B , L , WAIT , 1646.0
B , S , WAIT , 1449.0
C , S , WAIT , 1925.0
C , L , WAIT , 3432.0
A , S , WAIT , 2795.0
A , S , WAIT , 2665.0
A , S , WAIT , 734.0
A , L , WAIT , 0.0
A , L , WAIT , 3347.0
A , L , WAIT , 2365.0
B , L , WAIT , 1437.0
B , L , WAIT , 3374.0
A , S , WAIT , 1959.0
C , L , WAIT , 1999.0
C , S , WAIT , 3584.0
C , S , WAIT , 885.0
A , L , WAIT , 1282.0
C , L , WAIT , 3470.0
A , L , WAIT , 231.0
Priemerný čas čakania, Percent nestihli, Zisk z microbusov, Náklady spoločnosti
566.7373676665391 , 0.06587260938370817 , 0.0 , 13650000

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
A , L , WAIT , 456.0
B , L , WAIT , 188.0
B , L , WAIT , 2010.0
A , L , WAIT , 2645.0
A , L , WAIT , 1399.0
C , L , WAIT , 2175.0
C , L , WAIT , 2358.0
B , S , WAIT , 2304.0
A , L , WAIT , 584.0
A , L , WAIT , 2595.0
A , L , WAIT , 1733.0
A , S , WAIT , 2272.0
C , L , WAIT , 3059.0
C , L , WAIT , 1217.0
C , S , WAIT , 3203.0
B , L , WAIT , 3013.0
