Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
Linka C , Veľký , Bez čakania , 2814.363786241857
Linka A , Malý , Bez čakania , 1645.362065189916
Linka B , Veľký , Bez čakania , 1548.9024957707054
Linka C , Veľký , S čakaním , 702.7513200799589
Linka B , Veľký , S čakaním , 1960.17540674651
Linka C , Veľký , S čakaním , 829.7280675852966
Linka B , Veľký , Bez čakania , 3556.886914695112
Linka C , Veľký , S čakaním , 672.5805982231783
Linka C , Malý , S čakaním , 2951.151753200807
Linka B , Veľký , S čakaním , 2272.383573459642
Linka C , Malý , S čakaním , 1715.9984221347124
Linka B , Veľký , Bez čakania , 2785.2667709888083
Linka A , Veľký , Bez čakania , 160.95185724046348
Linka B , Malý , Bez čakania , 874.8254098500181
Linka C , Malý , S čakaním , 3363.755942070367
Linka B , Malý , S čakaním , 822.4589349310794
Linka A , Veľký , S čakaním , 2230.80450843347
Linka A , Veľký , Bez čakania , 349.9012173730245
Linka A , Veľký , S čakaním , 1237.7435757721203
Linka A , Veľký , S čakaním , 1818.1052289841575
Linka A , Malý , Bez čakania , 1227.5670945653253
Linka C , Veľký , Bez čakania , 3523.8900439716
Linka A , Malý , Bez čakania , 3123.1383414472944
Linka C , Malý , S čakaním , 3229.0358974142505
Linka C , Malý , S čakaním , 2756.772040256764
Linka C , Malý , S čakaním , 3148.222615889632
Linka A , Veľký , Bez čakania , 2072.3765703794975
Linka B , Veľký , Bez čakania , 2730.711170956698
Linka A , Malý , S čakaním , 1878.7227565779776
Linka B , Malý , S čakaním , 46.75495826538998
Linka B , Malý , S čakaním , 2888.987705057185
Linka C , Malý , Bez čakania , 294.4472817933192
Linka A , Veľký , Bez čakania , 1793.3798829779155
Priemerný čas čakania, Percent nestihli
561.4892361974458 , 0.05754836665159204

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
Linka A , Malý , Bez čakania , 2435.8922808203497
Linka A , Veľký , Bez čakania , 2233.2524873339426
Linka A , Malý , S čakaním , 1048.5741083652952
Linka B , Malý , Bez čakania , 41.95181035015243
Linka A , Malý , S čakaním , 2340.427067022671
Linka A , Veľký , S čakaním , 2453.3255025109966
Linka B , Veľký , S čakaním , 163.66555220155954
Linka C , Veľký , S čakaním , 824.284201275714
Linka B , Veľký , Bez čakania , 1803.1306351179232
Linka C , Veľký , S čakaním , 2624.3483512045505
Linka B , Malý , S čakaním , 400.5865792144688
Linka C , Malý , Bez čakania , 3187.129405917351
Linka C , Veľký , Bez čakania , 3134.833318773874
Linka B , Veľký , S čakaním , 3107.2434303313767
Linka A , Veľký , Bez čakania , 2436.404254261263
Linka A , Malý , Bez čakania , 441.97758776727426
Linka C , Veľký , S čakaním , 2860.160915618993
Linka B , Veľký , S čakaním , 1433.7949955687832
Linka C , Malý , S čakaním , 3115.205640148627
Linka A , Veľký , S čakaním , 1965.0781198248567
Linka A , Veľký , S čakaním , 1047.1222538592795
Linka B , Malý , Bez čakania , 1265.4550013844946
Linka B , Veľký , S čakaním , 3426.593608543171
Linka B , Veľký , S čakaním , 765.4024419728007
Linka A , Malý , Bez čakania , 1560.285816387199
Linka B , Veľký , S čakaním , 391.4085767086527
Linka A , Veľký , S čakaním , 2961.566897772445
Linka A , Malý , Bez čakania , 2077.595629735951
Linka C , Veľký , Bez čakania , 1080.9529761382894
Linka B , Malý , Bez čakania , 2443.2885757063295
Linka C , Malý , Bez čakania , 2002.5466680477155
Linka C , Veľký , S čakaním , 751.7135235149116
Linka C , Malý , S čakaním , 1591.5347805872711
Linka A , Veľký , Bez čakania , 3209.5570138597855
Linka C , Malý , Bez čakania , 2238.2907978697476
Linka B , Malý , Bez čakania , 1257.5196967079905
Linka A , Veľký , Bez čakania , 960.5252892444772
Linka C , Malý , S čakaním , 847.644462435322
Priemerný čas čakania, Percent nestihli
431.21139125844746 , 0.03199255444850722

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
Linka A , Veľký , Bez čakania , 171.365475068843
Linka A , Malý , Bez čakania , 815.6877401875893
Linka C , Malý , Bez čakania , 597.6948101555098
Linka A , Veľký , Bez čakania , 206.10130449220114
Linka A , Veľký , Bez čakania , 2861.716189632655
Linka B , Veľký , Bez čakania , 70.20099293862599
Linka A , Veľký , S čakaním , 1772.9573567100153
Linka A , Veľký , Bez čakania , 1530.1952407131296
Linka C , Malý , Bez čakania , 3270.112542674587
