Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
C , S , NO WAIT , 2881.0
A , L , NO WAIT , 2628.0
B , S , NO WAIT , 2801.0
B , S , NO WAIT , 101.0
A , S , NO WAIT , 486.0
C , S , NO WAIT , 3080.0
C , L , NO WAIT , 2608.0
A , L , NO WAIT , 2624.0
C , L , NO WAIT , 1922.0
B , S , NO WAIT , 2136.0
A , S , NO WAIT , 2826.0
A , S , NO WAIT , 794.0
B , S , NO WAIT , 841.0
B , L , NO WAIT , 590.0
C , L , NO WAIT , 3547.0
A , L , NO WAIT , 390.0
A , S , NO WAIT , 226.0
C , S , NO WAIT , 473.0
C , S , NO WAIT , 1753.0
A , L , NO WAIT , 1744.0
C , S , NO WAIT , 1052.0
B , L , NO WAIT , 2821.0
B , S , NO WAIT , 2264.0
A , S , NO WAIT , 544.0
A , S , NO WAIT , 1615.0
B , S , NO WAIT , 57.0
A , L , NO WAIT , 1224.0
A , L , NO WAIT , 3542.0
C , L , NO WAIT , 2164.0
C , S , NO WAIT , 781.0
A , S , NO WAIT , 1589.0
C , L , NO WAIT , 3171.0
A , S , NO WAIT , 2205.0
B , L , NO WAIT , 1099.0
B , L , NO WAIT , 1034.0
B , L , NO WAIT , 1303.0
B , S , NO WAIT , 210.0
B , L , NO WAIT , 3155.0
C , L , NO WAIT , 2655.0
C , L , NO WAIT , 1617.0
Priemerný čas čakania, Percent nestihli, Zisk z microbusov, Náklady spoločnosti
353.9199613256561 , 0.021481132034868195 , 0.0 , 17075000

 
 
Linka autobusu, Typ, Stratégia vozenia, Čas vyslania
A , L , NO WAIT , 2316.0
A , L , NO WAIT , 517.0
B , L , NO WAIT , 315.0
A , S , NO WAIT , 2241.0
B , S , NO WAIT , 3303.0
A , S , NO WAIT , 362.0
A , S , NO WAIT , 2732.0
B , S , NO WAIT , 264.0
C , L , NO WAIT , 939.0
C , L , NO WAIT , 2941.0
A , L , NO WAIT , 446.0
C , L , NO WAIT , 2045.0
B , L , NO WAIT , 772.0
A , S , NO WAIT , 3309.0
C , L , NO WAIT , 1465.0
B , S , NO WAIT , 553.0
C , L , NO WAIT , 1500.0
C , S , NO WAIT , 1247.0
A , L , NO WAIT , 883.0
C , S , NO WAIT , 667.0
A , S , NO WAIT , 729.0
B , S , NO WAIT , 3224.0
C , L , NO WAIT , 2834.0
A , S , NO WAIT , 3045.0
C , L , NO WAIT , 2251.0
A , L , NO WAIT , 302.0
B , S , NO WAIT , 927.0
B , S , NO WAIT , 680.0
A , L , NO WAIT , 410.0
